,,Chery eQ1,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,
,,Retail Price,55000,55300,55606,55918.12,56236.4824,56561.212048,56892.43628896,57230.2850147392,57574.89071503398,57926.388529334654,58284.916299921344,58650.61462591978,,,,,,,,,,,,
,,Purchase Tax,5500,5530,5560.6,5591.812000000001,5623.64824,5656.121204800001,5689.243628896001,5723.02850147392,5757.489071503398,5792.638852933465,5828.491629992135,5865.061462591978,,,,,,,,,,,,
,,Consumer Final Price,60500,60830,61166.6,61509.932,61860.13064,62217.3332528,62581.679917856,62953.31351621312,63332.37978653738,63719.02738226812,64113.407929913476,64515.676088511755,,,,,,,,,,,,
,,Range/Day (km),10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,
,,Years of Usage,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,
,,Oil/hundred KM (L/100km),5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,,,,,,,,,,,,
,,Oil Price (RMB/Litre),7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
,,Discount Rate,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,
,,NPV Energy Cost,9790.88766381325,9505.716178459466,9228.850658698511,8960.049183202438,8699.076876895571,8445.705705723856,8199.714277401801,7960.887647962914,7729.017133944578,7503.900130043279,7285.339932080854,7073.145565127043,,,,,,,,,,,,
,,NPV Maintenance Cost,4200,4074,3951.7799999999997,3833.2265999999995,3718.2298019999994,3606.6829079399995,3498.4824207017996,3393.5279480807453,3291.7221096383228,3192.970446349173,3097.1813329586976,3004.2658929699364,,,,,,,,,,,,
,,NPV Insurance Cost,21690.848865664626,21059.076568606433,20445.705406414014,19850.199423702925,19272.038275439732,18710.716772271586,18165.74443909863,17636.645086503522,17122.956394663615,16624.22950938215,16140.02864988558,15669.930728044254,,,,,,,,,,,,
,,NPV Vehicle and Vessel Tax,360,349.2,338.724,328.56228,318.7054116,309.144249252,299.86992177444,290.8738241212068,282.1476093975706,273.6831811156435,265.4726856821742,257.5085051117089,,,,,,,,,,,,
,,Residual Value after Depreciation,19250,19355,19462.1,19571.342,19682.76884,19796.4242168,19912.352701136,20030.59975515872,20151.211750261893,20274.23598526713,20399.720704972468,20527.71511907192,,,,,,,,,,,,
,,TCO ,76931.73652947787,76113.79274706589,75330.83606511253,74582.06520690536,73866.7067543353,73184.01442193546,72533.26835392223,71913.7744436016,71324.86367452201,70765.8914827756,70236.23713986615,69735.30315558107,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,
,,Annual range,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,
,,Electricity amount,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,423.4,
,,Electricity Cost,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,338.72,
,,Discounted Electricity Cost,338.72,328.8543689320389,319.27608634178534,309.97678285610226,300.9483328700022,292.1828474466041,283.67266742388745,275.4103567222208,267.38869584681635,259.60067557943336,252.0394908538188,244.6985348095328,237.5713930189639,230.65183788248925,223.93382318688273,217.41147882221622,211.07910565263717,204.93117053654092,198.96230149178731,193.16728300173526,187.5410514579954,182.0786907359179,176.77542789894937,
,,Electricity Cost NPV,2449.0414425926415,2377.710138439458,2308.4564450868515,2241.219849598885,2175.9416015523157,2112.564661701277,2051.0336521371623,1991.2948079001578,1933.2959300001535,1876.9863398059742,1822.316834763082,1769.2396454010504,1717.7083935932526,1667.678052032284,1619.1049048857128,1571.9465095977796,1354.5350307755632,1143.4559251229261,938.5247545863853,739.5624530945979,546.3951700928626,358.8541186348673,176.77542789894937,
,,Maintenance Cost,400,,,,,,,,,,,,,,,,,,,,,,,
,,Insurance cost,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,
,,Discounted Insurance Cost,3500,3398.0582524271845,3299.0856819681403,3202.9958077360584,3109.7046677049116,3019.1307453445743,2931.1948983927905,2845.820289701738,2762.932320098775,2682.458563202694,2604.328702138538,2528.474468095668,2454.8295806754063,2383.3296899761226,2313.9123203651675,2246.5168158885117,2181.0842872704,2117.5575604566993,2055.8811266569896,1996.0010938417374,1937.8651396521723,1881.422465681721,1826.6237530890494,
,,Insurance cost NPV,25305.9903432754,21657.07245861413,21026.283940402063,20413.867903302973,19819.289226507743,19242.028375250236,18681.58094684489,18137.457229946493,17609.18177664709,17096.292987036006,16598.342705860196,16114.895830932232,,,,,,,,,,,,
,,Annual range,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,
,,Oil amount,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,
,,Oil cost,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,1354.1499999999999,
,,,1354.1499999999999,1314.7087378640774,1276.4162503534733,1239.2390780130809,1203.1447359350302,1168.1016853738156,1134.0793061881704,1101.0478700856024,1068.9785146462161,1037.8432181031224,1007.6147748574003,978.2667717062138,949.7735647633145,922.1102570517618,895.2526767492832,869.1773560672651,843.8615107449178,819.2830201406969,795.4204079035892,772.2528232073681,749.7600225314254,727.9223519722577,706.7207300701531,
,,,9790.88766381325,9505.716178459466,9228.850658698511,8960.049183202438,8699.076876895571,8445.705705723856,8199.714277401801,7960.887647962914,7729.017133944578,7503.900130043279,7285.339932080854,7073.145565127043,,,,,,,,,,,,
,,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
,,,3000,2912.6213592233007,2827.787727401263,2745.4249780594787,2665.461143747067,2587.826353152492,2512.4527700509634,2439.274534030061,2368.2277029418074,2299.250197030881,2232.2817446901754,2167.2638297962867,2104.1396405789196,2042.8540199795336,1983.3534174558577,1925.585842190153,1869.500817660343,1815.0493375343137,1762.1838228488482,1710.858080435775,1661.0272625590048,1612.6478277271895,1565.6775026477567,
,,,21690.848865664626,21059.076568606433,20445.705406414014,19850.199423702925,19272.038275439732,18710.716772271586,18165.74443909863,17636.645086503522,17122.956394663615,16624.22950938215,16140.02864988558,15669.930728044254,,,,,,,,,,,,
